t_sec,hz_image_raw,hz_cMo,hz_v_c
0.106450,0.000000,0.000000,0.000000
0.206436,0.000000,0.000000,0.000000
0.306462,0.000000,0.000000,0.000000
0.406438,0.000000,0.000000,0.000000
0.506434,1.000000,0.000000,0.000000
0.606421,4.000000,2.000000,3.000000
0.706446,7.000000,4.000000,6.000000
0.806421,10.000000,5.000000,9.000000
0.906422,13.000000,7.000000,12.000000
1.006433,16.000000,9.000000,15.000000
1.106438,19.000000,10.000000,18.000000
1.206435,22.000000,12.000000,21.000000
1.306431,25.000000,14.000000,24.000000
1.406429,28.000000,16.000000,27.000000
1.506446,30.000000,18.000000,30.000000
1.606863,30.000000,17.000000,30.000000
1.707628,30.000000,17.000000,30.000000
1.806473,29.000000,18.000000,30.000000
1.906717,29.000000,18.000000,30.000000
2.006556,29.000000,17.000000,30.000000
2.106451,29.000000,18.000000,30.000000
2.206466,29.000000,18.000000,30.000000
2.306447,29.000000,18.000000,30.000000
2.406464,29.000000,18.000000,30.000000
2.506457,29.000000,18.000000,30.000000
2.606450,30.000000,19.000000,30.000000
2.706444,30.000000,19.000000,30.000000
2.806453,30.000000,19.000000,30.000000
2.906467,30.000000,20.000000,30.000000
3.006448,29.000000,20.000000,30.000000
3.106483,29.000000,20.000000,30.000000
3.206491,29.000000,20.000000,30.000000
3.306454,29.000000,20.000000,30.000000
3.406453,29.000000,19.000000,30.000000
3.506482,29.000000,19.000000,30.000000
3.606460,29.000000,19.000000,30.000000
3.706443,29.000000,19.000000,30.000000
3.806458,29.000000,20.000000,30.000000
3.906416,29.000000,19.000000,31.000000
4.006454,30.000000,20.000000,31.000000
4.106443,30.000000,20.000000,31.000000
4.206429,30.000000,20.000000,31.000000
4.306419,30.000000,20.000000,31.000000
4.406421,30.000000,21.000000,31.000000
4.506440,30.000000,21.000000,31.000000
4.606444,30.000000,21.000000,31.000000
4.706432,30.000000,21.000000,31.000000
4.806454,30.000000,20.000000,31.000000
4.906444,30.000000,20.000000,30.000000
5.006436,30.000000,19.000000,30.000000
5.106439,30.000000,19.000000,30.000000
5.206440,30.000000,19.000000,30.000000
5.306435,30.000000,19.000000,30.000000
5.406442,30.000000,19.000000,30.000000
5.506435,30.000000,19.000000,30.000000
5.606439,30.000000,18.000000,30.000000
5.706431,30.000000,18.000000,30.000000
5.806769,30.000000,18.000000,30.000000
5.906873,30.000000,18.000000,30.000000
6.008850,30.000000,18.000000,30.000000
6.106466,29.000000,18.000000,30.000000
6.206461,29.000000,18.000000,30.000000
6.306904,29.000000,18.000000,30.000000
6.406463,29.000000,18.000000,30.000000
6.506491,29.000000,17.000000,30.000000
6.606450,29.000000,18.000000,30.000000
6.706457,29.000000,18.000000,30.000000
6.806462,30.000000,18.000000,30.000000
6.906456,30.000000,18.000000,30.000000
7.006444,30.000000,17.000000,30.000000
7.106447,30.000000,18.000000,30.000000
7.206420,30.000000,18.000000,31.000000
7.306421,30.000000,18.000000,31.000000
7.406422,30.000000,18.000000,31.000000
7.506440,30.000000,19.000000,31.000000
7.606423,30.000000,18.000000,31.000000
7.706422,30.000000,18.000000,31.000000
7.806422,30.000000,18.000000,31.000000
7.906435,29.000000,18.000000,31.000000
8.006470,29.000000,19.000000,31.000000
8.106441,29.000000,19.000000,31.000000
8.206457,29.000000,19.000000,30.000000
8.306444,29.000000,19.000000,30.000000
8.406462,29.000000,18.000000,30.000000
8.506476,29.000000,18.000000,30.000000
8.606474,29.000000,19.000000,30.000000
8.706483,29.000000,19.000000,30.000000
8.806441,29.000000,18.000000,30.000000
8.906435,30.000000,18.000000,30.000000
9.006444,30.000000,18.000000,30.000000
9.106445,29.000000,17.000000,30.000000
9.206439,29.000000,17.000000,30.000000
9.306481,29.000000,17.000000,30.000000
9.406437,29.000000,18.000000,30.000000
9.506463,29.000000,17.000000,30.000000
9.606466,28.000000,17.000000,30.000000
9.706467,28.000000,17.000000,30.000000
9.806457,28.000000,17.000000,30.000000
9.906462,28.000000,17.000000,30.000000
10.006457,28.000000,17.000000,30.000000
10.106468,29.000000,18.000000,30.000000
10.206455,29.000000,17.000000,30.000000
10.306462,29.000000,17.000000,30.000000
10.406443,29.000000,17.000000,30.000000
10.506433,29.000000,18.000000,31.000000
10.606424,30.000000,18.000000,31.000000
10.706435,30.000000,17.000000,31.000000
10.806428,30.000000,18.000000,31.000000
10.906423,30.000000,18.000000,31.000000
11.006432,30.000000,18.000000,31.000000
11.106439,30.000000,18.000000,31.000000
11.206418,30.000000,18.000000,31.000000
11.306428,30.000000,18.000000,31.000000
11.406427,30.000000,18.000000,31.000000
11.506439,30.000000,18.000000,30.000000
11.606442,30.000000,17.000000,30.000000
11.706438,30.000000,18.000000,30.000000
11.806441,30.000000,18.000000,30.000000
11.906473,30.000000,18.000000,30.000000
12.006435,30.000000,18.000000,30.000000
12.106488,30.000000,17.000000,30.000000
12.206441,30.000000,18.000000,30.000000
12.306439,30.000000,18.000000,30.000000
12.406453,29.000000,18.000000,30.000000
12.506436,29.000000,17.000000,30.000000
12.606438,29.000000,18.000000,30.000000
12.706434,29.000000,18.000000,30.000000
12.806451,29.000000,17.000000,30.000000
12.906437,29.000000,17.000000,30.000000
13.006451,29.000000,17.000000,30.000000
13.106439,29.000000,17.000000,30.000000
13.206433,29.000000,17.000000,30.000000
13.306447,29.000000,17.000000,30.000000
13.406431,30.000000,16.000000,30.000000
13.506448,30.000000,17.000000,30.000000
13.606441,30.000000,17.000000,30.000000
13.706434,30.000000,16.000000,30.000000
13.806417,30.000000,17.000000,31.000000
13.906421,30.000000,17.000000,31.000000
14.006424,30.000000,16.000000,31.000000
14.106538,30.000000,17.000000,31.000000
14.207229,29.000000,17.000000,31.000000
14.307914,29.000000,16.000000,31.000000
14.406458,28.000000,17.000000,31.000000
14.506472,28.000000,17.000000,31.000000
14.606464,28.000000,16.000000,31.000000
14.706468,28.000000,17.000000,31.000000
14.806451,28.000000,16.000000,30.000000
14.906441,28.000000,16.000000,30.000000
15.006457,28.000000,16.000000,30.000000
15.106450,28.000000,16.000000,30.000000
15.206483,30.000000,15.000000,30.000000
15.306478,30.000000,16.000000,30.000000
15.406484,30.000000,16.000000,30.000000
15.506454,30.000000,15.000000,30.000000
15.606473,30.000000,16.000000,30.000000
15.706456,30.000000,15.000000,30.000000
15.806462,30.000000,16.000000,30.000000
15.906464,30.000000,16.000000,30.000000
16.006470,30.000000,16.000000,30.000000
16.106473,30.000000,16.000000,30.000000
16.206452,30.000000,16.000000,30.000000
16.306470,30.000000,16.000000,30.000000
16.406445,30.000000,15.000000,30.000000
16.506455,30.000000,16.000000,30.000000
16.606458,30.000000,15.000000,30.000000
16.706459,30.000000,16.000000,30.000000
16.806448,30.000000,15.000000,30.000000
16.906442,30.000000,15.000000,30.000000
17.006451,30.000000,15.000000,30.000000
17.106420,30.000000,15.000000,31.000000
17.206418,30.000000,15.000000,31.000000
17.306423,30.000000,15.000000,31.000000
17.406422,30.000000,15.000000,31.000000
17.506423,30.000000,15.000000,31.000000
17.606464,30.000000,15.000000,31.000000
17.706445,30.000000,15.000000,31.000000
17.806427,30.000000,15.000000,31.000000
17.906424,30.000000,14.000000,31.000000
18.006470,30.000000,15.000000,31.000000
18.106425,30.000000,14.000000,30.000000
18.206429,30.000000,15.000000,30.000000
18.306451,30.000000,14.000000,30.000000
18.406450,30.000000,15.000000,30.000000
18.506436,30.000000,14.000000,30.000000
18.606449,30.000000,15.000000,30.000000
18.706447,30.000000,14.000000,30.000000
18.806427,30.000000,14.000000,30.000000
18.906448,29.000000,15.000000,30.000000
19.006480,29.000000,14.000000,30.000000
19.106471,29.000000,15.000000,30.000000
19.206482,29.000000,14.000000,30.000000
19.306485,29.000000,14.000000,30.000000
19.406452,29.000000,14.000000,30.000000
19.506468,29.000000,14.000000,30.000000
19.606463,29.000000,13.000000,30.000000
19.706491,29.000000,13.000000,30.000000
19.806488,29.000000,13.000000,30.000000
19.906452,30.000000,12.000000,30.000000
20.006490,30.000000,12.000000,30.000000
20.106465,30.000000,12.000000,30.000000
20.206450,30.000000,12.000000,30.000000
20.306457,30.000000,12.000000,30.000000
20.406425,30.000000,11.000000,31.000000
20.506417,30.000000,11.000000,31.000000
20.606423,30.000000,12.000000,31.000000
20.706422,30.000000,13.000000,31.000000
20.806424,30.000000,13.000000,31.000000
20.906409,30.000000,14.000000,31.000000
21.006436,30.000000,14.000000,31.000000
21.106436,30.000000,14.000000,31.000000
21.206432,30.000000,14.000000,31.000000
21.306425,30.000000,14.000000,31.000000
21.406428,30.000000,15.000000,30.000000
21.506473,30.000000,14.000000,30.000000
21.606434,30.000000,15.000000,30.000000
21.706431,30.000000,14.000000,30.000000
