t_sec,hz_image_raw,hz_cMo,hz_v_c
0.102447,0.000000,0.000000,0.000000
0.202425,1.000000,0.000000,0.000000
0.302411,3.000000,1.000000,2.000000
0.402434,5.000000,4.000000,5.000000
0.502417,7.000000,6.000000,8.000000
0.602410,9.000000,8.000000,11.000000
0.702446,10.000000,10.000000,14.000000
0.802425,11.000000,13.000000,17.000000
0.902424,13.000000,15.000000,20.000000
1.002427,16.000000,17.000000,23.000000
1.102428,18.000000,20.000000,26.000000
1.202417,20.000000,22.000000,29.000000
1.302424,21.000000,23.000000,30.000000
1.402428,22.000000,23.000000,30.000000
1.502443,23.000000,23.000000,30.000000
1.602423,24.000000,24.000000,30.000000
1.702443,26.000000,24.000000,30.000000
1.802440,28.000000,23.000000,30.000000
1.902415,28.000000,24.000000,30.000000
2.002439,28.000000,24.000000,30.000000
2.102416,29.000000,23.000000,30.000000
2.202436,29.000000,24.000000,30.000000
2.302444,29.000000,24.000000,30.000000
2.402466,28.000000,23.000000,30.000000
2.502428,28.000000,24.000000,30.000000
2.602436,28.000000,23.000000,30.000000
2.702449,28.000000,23.000000,30.000000
2.802434,27.000000,24.000000,30.000000
2.902501,28.000000,23.000000,30.000000
3.002424,28.000000,23.000000,30.000000
3.102416,27.000000,24.000000,30.000000
3.202433,27.000000,23.000000,30.000000
3.302445,27.000000,23.000000,30.000000
3.402411,28.000000,24.000000,31.000000
3.502422,27.000000,23.000000,31.000000
3.602417,27.000000,23.000000,31.000000
3.702410,27.000000,24.000000,31.000000
3.802439,27.000000,23.000000,31.000000
3.902435,27.000000,23.000000,31.000000
4.002420,27.000000,24.000000,31.000000
4.102412,27.000000,23.000000,31.000000
4.202467,27.000000,23.000000,31.000000
4.302437,26.000000,24.000000,31.000000
4.402461,26.000000,23.000000,30.000000
4.502415,27.000000,23.000000,30.000000
4.602428,26.000000,24.000000,30.000000
4.702420,26.000000,23.000000,30.000000
4.802449,27.000000,23.000000,30.000000
4.902423,27.000000,24.000000,30.000000
5.002444,26.000000,23.000000,30.000000
5.102444,27.000000,24.000000,30.000000
5.202443,26.000000,24.000000,30.000000
5.302421,26.000000,24.000000,30.000000
5.402450,26.000000,24.000000,30.000000
5.502433,25.000000,24.000000,30.000000
5.602420,26.000000,24.000000,30.000000
5.702430,26.000000,24.000000,30.000000
5.802434,26.000000,25.000000,30.000000
5.902444,26.000000,24.000000,30.000000
6.002437,27.000000,25.000000,30.000000
6.102391,27.000000,25.000000,30.000000
6.202449,28.000000,25.000000,30.000000
6.302440,28.000000,25.000000,30.000000
6.402446,27.000000,25.000000,30.000000
6.502427,28.000000,26.000000,30.000000
6.602446,28.000000,25.000000,30.000000
6.702407,28.000000,26.000000,31.000000
6.802412,28.000000,25.000000,31.000000
6.902409,27.000000,26.000000,31.000000
7.002431,27.000000,25.000000,31.000000
7.102418,26.000000,25.000000,31.000000
7.202421,25.000000,25.000000,31.000000
7.302422,24.000000,25.000000,31.000000
7.402417,24.000000,25.000000,31.000000
7.502433,21.000000,25.000000,31.000000
7.602411,18.000000,25.000000,31.000000
7.702411,17.000000,24.000000,30.000000
7.802409,15.000000,25.000000,30.000000
7.902452,16.000000,24.000000,30.000000
8.002425,15.000000,24.000000,30.000000
8.102439,16.000000,24.000000,30.000000
8.202432,17.000000,24.000000,30.000000
8.302421,19.000000,24.000000,30.000000
8.402457,20.000000,24.000000,30.000000
8.502445,23.000000,23.000000,30.000000
8.602430,26.000000,23.000000,30.000000
8.702425,27.000000,24.000000,30.000000
8.802438,28.000000,23.000000,30.000000
8.902462,28.000000,23.000000,30.000000
9.002411,27.000000,24.000000,30.000000
9.102447,27.000000,23.000000,30.000000
9.202440,27.000000,23.000000,30.000000
9.302425,27.000000,23.000000,30.000000
9.402467,27.000000,23.000000,30.000000
9.502605,26.000000,24.000000,30.000000
9.602431,26.000000,24.000000,30.000000
9.702428,26.000000,24.000000,30.000000
9.802440,27.000000,24.000000,30.000000
9.902402,26.000000,25.000000,30.000000
10.002419,25.000000,24.000000,31.000000
10.102410,25.000000,24.000000,31.000000
10.202417,25.000000,25.000000,31.000000
10.302418,24.000000,24.000000,31.000000
10.402427,24.000000,25.000000,31.000000
10.502414,25.000000,24.000000,31.000000
10.602415,23.000000,24.000000,31.000000
10.702400,23.000000,24.000000,31.000000
10.802425,22.000000,24.000000,31.000000
10.902388,23.000000,23.000000,31.000000
11.002417,26.000000,24.000000,30.000000
11.102421,24.000000,24.000000,30.000000
11.202426,21.000000,23.000000,30.000000
11.302421,21.000000,23.000000,30.000000
11.402441,20.000000,23.000000,30.000000
11.502440,17.000000,23.000000,30.000000
11.602434,19.000000,23.000000,30.000000
11.702508,19.000000,22.000000,30.000000
11.802418,20.000000,23.000000,30.000000
11.902422,20.000000,23.000000,30.000000
12.002441,20.000000,22.000000,30.000000
12.102431,22.000000,22.000000,30.000000
12.202421,24.000000,22.000000,30.000000
12.302418,25.000000,23.000000,30.000000
12.402447,25.000000,22.000000,30.000000
12.502441,25.000000,22.000000,30.000000
12.602439,23.000000,22.000000,30.000000
12.702429,22.000000,22.000000,30.000000
12.802415,22.000000,22.000000,30.000000
12.902441,22.000000,22.000000,30.000000
13.002428,22.000000,22.000000,30.000000
13.102424,22.000000,22.000000,30.000000
13.202451,23.000000,22.000000,30.000000
13.302423,23.000000,21.000000,31.000000
13.402407,24.000000,21.000000,31.000000
13.502417,27.000000,21.000000,31.000000
13.602433,29.000000,21.000000,31.000000
13.702418,30.000000,21.000000,31.000000
13.802414,30.000000,20.000000,31.000000
13.902431,30.000000,21.000000,31.000000
14.002442,30.000000,21.000000,31.000000
14.102425,30.000000,21.000000,31.000000
14.202425,30.000000,21.000000,31.000000
14.302429,30.000000,21.000000,30.000000
14.402439,30.000000,21.000000,30.000000
14.502454,29.000000,21.000000,30.000000
14.602459,28.000000,21.000000,30.000000
14.702422,27.000000,21.000000,30.000000
14.802424,27.000000,21.000000,30.000000
14.902427,27.000000,20.000000,30.000000
15.002459,27.000000,20.000000,30.000000
15.102423,27.000000,20.000000,30.000000
15.202453,26.000000,20.000000,30.000000
15.302414,26.000000,20.000000,30.000000
15.402516,26.000000,19.000000,30.000000
15.502408,27.000000,19.000000,30.000000
15.602424,28.000000,19.000000,30.000000
15.702424,29.000000,19.000000,30.000000
15.802423,29.000000,19.000000,30.000000
15.902428,28.000000,19.000000,30.000000
16.002426,26.000000,19.000000,30.000000
16.102433,26.000000,19.000000,30.000000
16.202422,27.000000,19.000000,30.000000
16.302446,26.000000,19.000000,30.000000
16.402456,26.000000,20.000000,30.000000
16.502414,25.000000,20.000000,30.000000
16.602411,25.000000,20.000000,31.000000
16.702407,25.000000,20.000000,31.000000
16.802412,25.000000,20.000000,31.000000
16.902411,25.000000,20.000000,31.000000
17.002417,26.000000,20.000000,31.000000
17.102423,26.000000,20.000000,31.000000
17.202434,26.000000,19.000000,31.000000
17.302423,27.000000,19.000000,31.000000
17.402423,27.000000,19.000000,31.000000
17.502423,28.000000,19.000000,31.000000
17.602422,28.000000,19.000000,30.000000
17.702419,28.000000,19.000000,30.000000
17.802452,27.000000,19.000000,30.000000
17.902439,28.000000,19.000000,30.000000
18.002421,29.000000,19.000000,30.000000
18.102429,29.000000,19.000000,30.000000
18.202426,29.000000,20.000000,30.000000
18.302420,29.000000,19.000000,30.000000
18.402422,28.000000,19.000000,30.000000
18.502422,28.000000,19.000000,30.000000
18.602409,26.000000,19.000000,30.000000
18.702429,25.000000,19.000000,30.000000
18.802421,25.000000,19.000000,30.000000
18.902420,24.000000,19.000000,30.000000
19.002419,23.000000,19.000000,30.000000
19.102445,21.000000,19.000000,30.000000
19.202429,21.000000,18.000000,30.000000
19.302447,20.000000,19.000000,30.000000
19.402426,21.000000,19.000000,30.000000
19.502421,21.000000,19.000000,30.000000
19.602420,22.000000,19.000000,30.000000
19.702430,23.000000,19.000000,30.000000
19.802421,24.000000,18.000000,30.000000
19.902412,24.000000,18.000000,31.000000
20.002409,25.000000,18.000000,31.000000
20.102443,25.000000,18.000000,31.000000
20.202423,24.000000,19.000000,31.000000
20.302435,24.000000,19.000000,31.000000
20.402421,24.000000,19.000000,31.000000
20.502419,24.000000,19.000000,31.000000
20.602469,25.000000,19.000000,31.000000
20.702423,25.000000,18.000000,31.000000
20.802409,25.000000,20.000000,31.000000
20.902428,26.000000,19.000000,30.000000
21.002423,26.000000,19.000000,30.000000
21.102418,28.000000,19.000000,30.000000
21.202420,27.000000,19.000000,30.000000
21.302447,27.000000,19.000000,30.000000
21.402441,26.000000,19.000000,30.000000
21.502416,26.000000,19.000000,30.000000
21.602420,26.000000,19.000000,30.000000
21.702423,26.000000,20.000000,30.000000
21.802423,26.000000,19.000000,30.000000
21.902420,24.000000,20.000000,30.000000
22.002446,22.000000,19.000000,30.000000
22.102425,22.000000,19.000000,30.000000
22.202421,24.000000,19.000000,30.000000
22.302420,24.000000,19.000000,30.000000
22.402423,24.000000,19.000000,30.000000
22.502430,23.000000,19.000000,30.000000
22.602423,23.000000,19.000000,30.000000
22.702525,23.000000,18.000000,30.000000
22.803054,23.000000,18.000000,30.000000
22.902512,23.000000,18.000000,30.000000
23.003430,25.000000,19.000000,30.000000
23.102457,23.000000,19.000000,30.000000
23.202391,23.000000,19.000000,30.000000
23.302923,23.000000,19.000000,31.000000
23.402718,24.000000,19.000000,31.000000
23.502419,22.000000,19.000000,31.000000
23.603424,23.000000,19.000000,31.000000
23.703388,23.000000,19.000000,31.000000
23.803319,23.000000,19.000000,31.000000
23.902738,25.000000,19.000000,31.000000
24.002449,25.000000,19.000000,31.000000
24.103340,26.000000,19.000000,30.000000
24.202966,26.000000,19.000000,30.000000
24.302462,27.000000,19.000000,30.000000
24.402893,27.000000,19.000000,30.000000
24.503028,30.000000,19.000000,30.000000
24.603687,29.000000,19.000000,30.000000
24.703333,30.000000,20.000000,30.000000
24.802437,29.000000,20.000000,30.000000
24.902473,29.000000,19.000000,30.000000
25.002469,29.000000,19.000000,30.000000
25.102595,28.000000,19.000000,30.000000
25.202458,28.000000,20.000000,30.000000
25.302427,28.000000,20.000000,30.000000
25.402441,28.000000,20.000000,30.000000
25.502464,28.000000,19.000000,30.000000
25.602477,28.000000,19.000000,30.000000
25.702453,27.000000,19.000000,30.000000
25.802488,27.000000,19.000000,30.000000
25.902461,27.000000,20.000000,30.000000
26.002532,27.000000,20.000000,30.000000
26.102547,29.000000,20.000000,30.000000
26.202477,29.000000,19.000000,30.000000
26.302481,29.000000,19.000000,30.000000
26.402446,28.000000,19.000000,30.000000
26.502424,28.000000,20.000000,31.000000
26.602460,28.000000,19.000000,31.000000
26.702470,29.000000,19.000000,31.000000
26.802434,28.000000,19.000000,31.000000
26.902424,28.000000,19.000000,31.000000
27.002465,28.000000,19.000000,31.000000
27.102467,28.000000,19.000000,31.000000
27.202450,28.000000,19.000000,31.000000
27.302434,28.000000,19.000000,31.000000
27.402474,29.000000,19.000000,31.000000
27.502433,29.000000,19.000000,30.000000
27.602438,28.000000,20.000000,30.000000
27.702415,28.000000,20.000000,30.000000
27.802438,29.000000,19.000000,30.000000
27.902455,29.000000,19.000000,30.000000
28.002502,28.000000,19.000000,30.000000
28.102447,28.000000,19.000000,30.000000
28.245605,24.000000,17.000000,27.000000
