t_sec,hz_image_raw,hz_cMo,hz_v_c
0.107805,0.000000,0.000000,0.000000
0.207406,0.000000,0.000000,0.000000
0.307443,0.000000,0.000000,0.000000
0.407450,0.000000,0.000000,0.000000
0.507381,0.000000,0.000000,0.000000
0.607410,0.000000,0.000000,0.000000
0.707415,0.000000,0.000000,0.000000
0.807414,0.000000,0.000000,0.000000
0.907406,0.000000,0.000000,0.000000
1.007376,0.000000,0.000000,0.000000
1.107429,0.000000,0.000000,0.000000
1.207418,0.000000,0.000000,0.000000
1.307398,0.000000,0.000000,0.000000
1.407408,0.000000,0.000000,0.000000
1.507373,0.000000,0.000000,0.000000
1.607429,0.000000,0.000000,0.000000
1.707411,0.000000,0.000000,0.000000
1.807413,0.000000,0.000000,0.000000
1.907406,0.000000,0.000000,0.000000
2.007522,1.000000,0.000000,0.000000
2.107454,3.000000,0.000000,0.000000
2.207414,6.000000,0.000000,0.000000
2.307493,9.000000,0.000000,0.000000
2.407415,12.000000,0.000000,0.000000
2.507384,15.000000,0.000000,0.000000
2.607446,18.000000,0.000000,0.000000
2.707437,21.000000,0.000000,0.000000
2.807418,23.000000,0.000000,0.000000
2.907412,26.000000,0.000000,0.000000
3.007372,28.000000,0.000000,0.000000
3.107411,29.000000,0.000000,0.000000
3.207420,29.000000,0.000000,0.000000
3.307415,29.000000,1.000000,0.000000
3.407446,29.000000,2.000000,0.000000
3.507380,27.000000,4.000000,0.000000
3.607451,27.000000,5.000000,0.000000
3.707418,27.000000,7.000000,0.000000
3.807418,27.000000,8.000000,0.000000
3.907402,27.000000,10.000000,0.000000
4.007404,27.000000,11.000000,0.000000
4.107420,27.000000,13.000000,0.000000
4.207439,27.000000,15.000000,0.000000
4.307404,27.000000,16.000000,0.000000
4.407409,27.000000,16.000000,1.000000
4.507415,29.000000,16.000000,4.000000
4.607426,29.000000,16.000000,7.000000
4.707405,29.000000,16.000000,10.000000
4.807407,30.000000,16.000000,13.000000
4.907409,30.000000,16.000000,16.000000
5.007415,30.000000,16.000000,19.000000
5.107388,30.000000,16.000000,22.000000
5.207442,30.000000,15.000000,25.000000
5.307406,30.000000,15.000000,28.000000
5.407387,30.000000,15.000000,31.000000
5.507411,30.000000,15.000000,31.000000
5.607424,30.000000,15.000000,31.000000
5.707422,30.000000,15.000000,31.000000
5.807412,30.000000,16.000000,31.000000
5.907428,29.000000,16.000000,31.000000
6.007425,29.000000,16.000000,31.000000
6.107384,29.000000,15.000000,31.000000
6.207408,29.000000,16.000000,31.000000
6.307397,29.000000,15.000000,31.000000
6.407428,29.000000,16.000000,30.000000
6.507399,29.000000,15.000000,30.000000
6.607398,29.000000,16.000000,30.000000
6.707402,29.000000,15.000000,30.000000
6.807431,29.000000,15.000000,30.000000
6.907408,30.000000,14.000000,30.000000
7.007410,30.000000,15.000000,30.000000
7.107405,30.000000,16.000000,30.000000
7.207441,30.000000,15.000000,30.000000
7.307398,30.000000,16.000000,30.000000
7.407393,30.000000,15.000000,30.000000
7.507425,30.000000,16.000000,30.000000
7.607415,30.000000,16.000000,30.000000
7.707405,30.000000,16.000000,30.000000
7.807394,28.000000,16.000000,30.000000
7.907403,28.000000,16.000000,30.000000
8.007416,28.000000,15.000000,30.000000
8.107412,28.000000,15.000000,30.000000
8.207421,28.000000,15.000000,30.000000
8.307403,28.000000,15.000000,30.000000
8.407404,28.000000,15.000000,30.000000
8.507395,28.000000,15.000000,30.000000
8.607412,28.000000,14.000000,30.000000
8.707380,28.000000,14.000000,31.000000
8.807382,30.000000,14.000000,31.000000
8.907379,30.000000,14.000000,31.000000
9.007347,30.000000,15.000000,31.000000
9.107389,30.000000,14.000000,31.000000
9.207396,30.000000,15.000000,31.000000
9.307419,30.000000,14.000000,31.000000
9.407394,30.000000,15.000000,31.000000
9.507382,30.000000,14.000000,31.000000
9.607382,30.000000,15.000000,31.000000
9.707388,30.000000,15.000000,30.000000
9.807403,30.000000,15.000000,30.000000
9.907411,30.000000,16.000000,30.000000
10.007420,29.000000,15.000000,30.000000
10.107403,29.000000,16.000000,30.000000
10.207402,29.000000,15.000000,30.000000
10.307406,28.000000,16.000000,30.000000
10.407411,28.000000,15.000000,30.000000
10.507407,28.000000,16.000000,30.000000
10.607398,28.000000,15.000000,30.000000
10.707404,28.000000,15.000000,30.000000
10.807414,28.000000,15.000000,30.000000
10.907462,28.000000,14.000000,30.000000
11.007391,29.000000,15.000000,30.000000
11.107435,29.000000,15.000000,30.000000
11.207400,29.000000,15.000000,30.000000
11.307454,30.000000,15.000000,30.000000
11.407399,30.000000,15.000000,30.000000
11.507412,30.000000,15.000000,30.000000
11.607445,30.000000,15.000000,30.000000
11.707393,30.000000,16.000000,30.000000
11.807418,29.000000,15.000000,30.000000
11.907993,29.000000,16.000000,30.000000
12.007380,29.000000,15.000000,31.000000
12.107376,29.000000,14.000000,31.000000
12.207391,28.000000,15.000000,31.000000
12.307385,28.000000,14.000000,31.000000
12.407378,28.000000,14.000000,31.000000
12.507394,28.000000,14.000000,31.000000
12.607390,28.000000,14.000000,31.000000
12.707444,28.000000,14.000000,31.000000
12.807404,29.000000,14.000000,31.000000
12.907419,29.000000,14.000000,31.000000
13.007413,29.000000,14.000000,30.000000
13.107426,29.000000,15.000000,30.000000
13.207410,30.000000,14.000000,30.000000
13.307403,30.000000,14.000000,30.000000
13.407406,30.000000,14.000000,30.000000
13.507409,30.000000,14.000000,30.000000
13.607436,30.000000,14.000000,30.000000
13.707426,30.000000,13.000000,30.000000
13.807401,29.000000,14.000000,30.000000
13.907413,29.000000,13.000000,30.000000
14.007392,29.000000,13.000000,30.000000
14.107436,29.000000,12.000000,30.000000
14.207431,28.000000,13.000000,30.000000
14.307394,28.000000,13.000000,30.000000
14.407395,28.000000,14.000000,30.000000
14.507435,28.000000,13.000000,30.000000
14.607424,27.000000,14.000000,30.000000
14.707397,27.000000,14.000000,30.000000
14.807397,28.000000,13.000000,30.000000
14.907401,28.000000,14.000000,30.000000
15.007415,28.000000,14.000000,30.000000
15.107358,26.000000,14.000000,30.000000
15.207403,27.000000,14.000000,30.000000
15.307379,27.000000,14.000000,31.000000
15.407391,27.000000,13.000000,31.000000
15.507377,27.000000,14.000000,31.000000
15.607378,28.000000,13.000000,31.000000
15.707389,28.000000,14.000000,31.000000
15.807458,28.000000,14.000000,31.000000
15.907396,28.000000,13.000000,31.000000
16.007393,28.000000,14.000000,31.000000
16.107407,30.000000,14.000000,31.000000
16.207388,30.000000,14.000000,31.000000
16.307411,29.000000,14.000000,30.000000
16.407410,29.000000,14.000000,30.000000
16.507408,29.000000,13.000000,30.000000
16.609141,29.000000,13.000000,30.000000
16.707419,29.000000,13.000000,30.000000
16.807440,28.000000,13.000000,30.000000
16.907396,28.000000,13.000000,30.000000
17.007394,28.000000,13.000000,30.000000
17.107393,28.000000,13.000000,30.000000
17.207400,28.000000,12.000000,30.000000
17.307414,29.000000,13.000000,30.000000
17.407404,29.000000,13.000000,30.000000
17.507399,29.000000,13.000000,30.000000
17.607389,30.000000,14.000000,30.000000
17.707402,28.000000,13.000000,30.000000
17.807586,29.000000,13.000000,30.000000
17.907447,29.000000,13.000000,30.000000
18.007415,29.000000,13.000000,30.000000
18.107407,28.000000,13.000000,30.000000
18.207410,28.000000,13.000000,30.000000
18.307414,28.000000,13.000000,30.000000
18.407401,27.000000,13.000000,30.000000
18.507393,27.000000,13.000000,30.000000
18.607384,27.000000,13.000000,31.000000
18.707377,28.000000,13.000000,31.000000
18.807386,29.000000,14.000000,31.000000
18.907410,28.000000,14.000000,31.000000
19.007399,28.000000,13.000000,31.000000
19.107453,29.000000,14.000000,31.000000
19.207405,29.000000,14.000000,31.000000
19.307404,29.000000,13.000000,31.000000
19.407403,30.000000,14.000000,31.000000
19.507389,30.000000,14.000000,31.000000
19.607430,30.000000,13.000000,30.000000
19.707436,30.000000,14.000000,30.000000
19.807392,30.000000,13.000000,30.000000
19.907810,30.000000,14.000000,30.000000
20.007403,30.000000,14.000000,30.000000
20.107411,29.000000,13.000000,30.000000
20.207392,29.000000,14.000000,30.000000
20.307411,29.000000,14.000000,30.000000
20.408187,29.000000,13.000000,30.000000
20.510828,29.000000,14.000000,30.000000
20.607398,29.000000,14.000000,30.000000
