t_sec,hz_image_raw,hz_cMo,hz_v_c
0.102694,0.000000,0.000000,0.000000
0.202720,2.000000,0.000000,0.000000
0.302697,5.000000,1.000000,0.000000
0.402692,8.000000,4.000000,0.000000
0.502688,11.000000,6.000000,0.000000
0.602691,14.000000,9.000000,0.000000
0.702673,17.000000,11.000000,0.000000
0.802685,20.000000,13.000000,0.000000
0.902676,23.000000,16.000000,0.000000
1.002659,24.000000,18.000000,0.000000
1.102695,27.000000,20.000000,0.000000
1.202682,28.000000,23.000000,0.000000
1.302714,28.000000,24.000000,0.000000
1.402706,27.000000,23.000000,0.000000
1.502662,27.000000,24.000000,0.000000
1.602702,27.000000,23.000000,0.000000
1.702673,27.000000,22.000000,0.000000
1.802725,27.000000,23.000000,0.000000
1.902683,27.000000,22.000000,0.000000
2.002689,29.000000,23.000000,0.000000
2.102690,29.000000,23.000000,0.000000
2.202712,29.000000,22.000000,0.000000
2.302666,29.000000,23.000000,0.000000
2.402747,30.000000,23.000000,0.000000
2.502747,30.000000,22.000000,0.000000
2.602703,30.000000,23.000000,0.000000
2.702704,30.000000,24.000000,0.000000
2.802695,30.000000,23.000000,0.000000
2.902688,29.000000,24.000000,0.000000
3.004042,29.000000,23.000000,0.000000
3.102712,28.000000,23.000000,0.000000
3.202703,27.000000,24.000000,3.000000
3.302655,26.000000,23.000000,6.000000
3.402683,26.000000,23.000000,9.000000
3.502664,25.000000,23.000000,12.000000
3.602679,25.000000,23.000000,15.000000
3.702654,25.000000,23.000000,18.000000
3.802703,24.000000,23.000000,21.000000
3.902677,25.000000,22.000000,24.000000
4.002691,25.000000,23.000000,27.000000
4.102707,26.000000,23.000000,30.000000
4.202695,26.000000,22.000000,30.000000
4.302708,26.000000,23.000000,30.000000
4.402653,25.000000,23.000000,30.000000
4.502708,26.000000,23.000000,30.000000
4.602666,26.000000,23.000000,30.000000
4.702692,25.000000,23.000000,30.000000
4.802707,25.000000,23.000000,30.000000
4.902667,25.000000,23.000000,30.000000
5.008073,23.000000,23.000000,30.000000
5.102699,21.000000,23.000000,30.000000
5.202736,22.000000,23.000000,30.000000
5.302651,23.000000,23.000000,30.000000
5.402656,24.000000,23.000000,31.000000
5.502656,22.000000,23.000000,31.000000
5.602657,22.000000,23.000000,31.000000
5.702646,23.000000,23.000000,31.000000
5.802632,24.000000,23.000000,31.000000
5.902665,22.000000,24.000000,31.000000
6.002681,23.000000,23.000000,31.000000
6.102683,25.000000,23.000000,31.000000
6.202676,24.000000,24.000000,31.000000
6.302685,24.000000,23.000000,31.000000
6.402667,23.000000,24.000000,30.000000
6.502685,24.000000,24.000000,30.000000
6.602684,21.000000,24.000000,30.000000
6.702653,21.000000,24.000000,30.000000
6.802697,20.000000,24.000000,30.000000
6.902705,21.000000,23.000000,30.000000
7.002681,21.000000,24.000000,30.000000
7.102683,21.000000,24.000000,30.000000
7.202707,22.000000,23.000000,30.000000
7.302675,21.000000,24.000000,30.000000
7.402737,22.000000,23.000000,30.000000
7.502659,23.000000,24.000000,30.000000
7.602683,26.000000,23.000000,30.000000
7.702692,24.000000,23.000000,30.000000
7.802678,24.000000,23.000000,30.000000
7.902711,24.000000,23.000000,30.000000
8.002689,24.000000,23.000000,30.000000
8.102685,22.000000,23.000000,30.000000
8.202709,20.000000,24.000000,30.000000
8.302703,20.000000,24.000000,30.000000
8.402682,19.000000,24.000000,30.000000
8.502688,19.000000,24.000000,30.000000
8.602691,19.000000,24.000000,30.000000
8.702649,21.000000,25.000000,31.000000
8.802677,19.000000,25.000000,31.000000
8.902651,20.000000,26.000000,31.000000
9.002655,21.000000,25.000000,31.000000
9.102677,23.000000,25.000000,31.000000
9.202668,25.000000,24.000000,31.000000
9.302680,26.000000,24.000000,31.000000
9.402693,26.000000,24.000000,31.000000
9.502668,26.000000,24.000000,31.000000
9.602676,26.000000,24.000000,31.000000
9.702692,26.000000,23.000000,30.000000
9.802677,28.000000,24.000000,30.000000
9.902687,28.000000,23.000000,30.000000
10.002703,27.000000,23.000000,30.000000
10.102703,26.000000,24.000000,30.000000
10.202737,24.000000,24.000000,30.000000
10.302688,21.000000,23.000000,30.000000
10.402694,21.000000,24.000000,30.000000
10.502695,20.000000,23.000000,30.000000
10.602700,19.000000,23.000000,30.000000
10.702666,19.000000,23.000000,30.000000
10.802652,20.000000,23.000000,30.000000
10.902681,20.000000,23.000000,30.000000
11.002692,20.000000,23.000000,30.000000
11.102677,21.000000,22.000000,30.000000
11.202666,23.000000,23.000000,30.000000
11.302728,26.000000,23.000000,30.000000
11.402691,27.000000,22.000000,30.000000
11.502677,28.000000,23.000000,30.000000
11.602656,29.000000,23.000000,30.000000
11.702708,29.000000,23.000000,30.000000
11.802678,29.000000,22.000000,30.000000
11.902665,28.000000,23.000000,30.000000
12.002657,29.000000,23.000000,31.000000
12.102649,29.000000,23.000000,31.000000
12.202677,29.000000,22.000000,31.000000
12.302675,29.000000,23.000000,31.000000
12.402654,29.000000,23.000000,31.000000
12.502650,29.000000,22.000000,31.000000
12.602702,29.000000,22.000000,31.000000
12.702654,29.000000,22.000000,31.000000
12.802664,29.000000,23.000000,31.000000
12.902666,30.000000,22.000000,31.000000
13.002687,30.000000,22.000000,30.000000
13.102704,30.000000,22.000000,30.000000
13.202675,29.000000,22.000000,30.000000
13.302695,29.000000,21.000000,30.000000
13.402728,28.000000,21.000000,30.000000
13.502722,28.000000,21.000000,30.000000
13.602687,28.000000,21.000000,30.000000
13.702741,25.000000,22.000000,30.000000
13.802691,24.000000,21.000000,30.000000
13.902682,23.000000,21.000000,30.000000
14.002702,23.000000,21.000000,30.000000
14.102702,21.000000,21.000000,30.000000
14.202753,22.000000,21.000000,30.000000
14.302682,22.000000,22.000000,30.000000
14.402677,22.000000,22.000000,30.000000
14.502688,22.000000,22.000000,30.000000
14.602685,22.000000,22.000000,30.000000
14.702697,25.000000,21.000000,30.000000
14.802695,25.000000,21.000000,30.000000
14.902702,26.000000,21.000000,30.000000
15.002697,24.000000,21.000000,30.000000
15.102718,25.000000,21.000000,30.000000
15.202735,25.000000,21.000000,30.000000
15.302650,23.000000,20.000000,31.000000
15.402654,22.000000,20.000000,31.000000
15.502653,21.000000,20.000000,31.000000
15.602649,21.000000,20.000000,31.000000
15.702684,20.000000,20.000000,31.000000
15.802653,21.000000,20.000000,31.000000
15.902679,20.000000,20.000000,31.000000
16.002779,22.000000,20.000000,31.000000
16.102674,23.000000,20.000000,31.000000
16.202687,22.000000,20.000000,31.000000
16.302657,23.000000,20.000000,30.000000
16.402673,25.000000,20.000000,30.000000
16.502662,25.000000,20.000000,30.000000
16.602648,25.000000,20.000000,30.000000
16.702700,23.000000,20.000000,30.000000
16.802703,21.000000,20.000000,30.000000
16.902681,22.000000,20.000000,30.000000
17.002689,21.000000,20.000000,30.000000
17.102682,21.000000,20.000000,30.000000
17.202704,22.000000,19.000000,30.000000
17.302706,22.000000,19.000000,30.000000
17.402692,22.000000,19.000000,30.000000
17.502697,23.000000,19.000000,30.000000
17.602664,23.000000,19.000000,30.000000
17.702676,26.000000,19.000000,30.000000
17.802755,28.000000,18.000000,30.000000
17.902685,27.000000,18.000000,30.000000
18.002695,28.000000,18.000000,30.000000
18.102680,26.000000,18.000000,30.000000
18.202682,26.000000,19.000000,30.000000
18.302694,27.000000,19.000000,30.000000
18.402676,27.000000,18.000000,30.000000
18.502672,27.000000,18.000000,30.000000
18.602655,27.000000,18.000000,31.000000
18.702681,26.000000,18.000000,31.000000
18.802653,26.000000,19.000000,31.000000
18.902661,26.000000,19.000000,31.000000
19.002658,26.000000,19.000000,31.000000
19.102653,28.000000,18.000000,31.000000
19.202676,28.000000,18.000000,31.000000
19.302688,28.000000,18.000000,31.000000
19.402702,28.000000,19.000000,31.000000
19.502681,28.000000,19.000000,31.000000
19.602693,28.000000,19.000000,30.000000
19.702691,29.000000,18.000000,30.000000
19.802692,28.000000,18.000000,30.000000
19.902689,29.000000,18.000000,30.000000
20.002691,29.000000,18.000000,30.000000
20.102689,29.000000,19.000000,30.000000
20.202682,29.000000,18.000000,30.000000
20.302650,27.000000,17.000000,30.000000
20.402702,25.000000,17.000000,30.000000
20.502721,24.000000,17.000000,30.000000
20.602677,22.000000,17.000000,30.000000
20.702693,22.000000,18.000000,30.000000
20.802697,23.000000,18.000000,30.000000
20.902678,22.000000,17.000000,30.000000
21.002667,21.000000,17.000000,30.000000
21.102685,20.000000,17.000000,30.000000
21.202698,20.000000,18.000000,30.000000
21.302693,22.000000,19.000000,30.000000
21.402703,24.000000,18.000000,30.000000
21.502647,23.000000,18.000000,30.000000
21.602716,24.000000,18.000000,30.000000
21.702722,23.000000,18.000000,30.000000
21.802686,22.000000,18.000000,30.000000
21.902647,23.000000,18.000000,31.000000
22.002674,23.000000,18.000000,31.000000
22.102651,24.000000,18.000000,31.000000
22.202651,24.000000,18.000000,31.000000
22.302656,23.000000,18.000000,31.000000
22.402649,22.000000,18.000000,31.000000
22.502663,24.000000,18.000000,31.000000
22.602698,25.000000,18.000000,31.000000
22.702745,26.000000,18.000000,31.000000
22.802664,27.000000,17.000000,31.000000
22.902678,27.000000,18.000000,30.000000
23.002655,27.000000,18.000000,30.000000
23.102672,27.000000,18.000000,30.000000
23.202682,26.000000,17.000000,30.000000
23.302663,27.000000,17.000000,30.000000
23.402683,28.000000,18.000000,30.000000
23.502691,28.000000,18.000000,30.000000
23.602662,28.000000,18.000000,30.000000
23.702682,28.000000,17.000000,30.000000
23.802661,28.000000,18.000000,30.000000
23.902703,26.000000,18.000000,30.000000
24.002689,27.000000,18.000000,30.000000
24.102693,27.000000,18.000000,30.000000
24.202697,28.000000,18.000000,30.000000
24.302667,28.000000,18.000000,30.000000
24.402675,28.000000,18.000000,30.000000
24.502696,27.000000,18.000000,30.000000
24.602667,27.000000,18.000000,30.000000
24.702700,26.000000,18.000000,30.000000
24.802693,26.000000,18.000000,30.000000
24.902670,27.000000,18.000000,30.000000
25.002660,27.000000,18.000000,30.000000
25.102661,27.000000,18.000000,30.000000
25.202651,27.000000,18.000000,31.000000
25.302649,27.000000,18.000000,31.000000
25.402675,24.000000,18.000000,31.000000
25.502680,25.000000,18.000000,31.000000
25.602681,25.000000,18.000000,31.000000
25.702689,26.000000,18.000000,31.000000
25.802658,26.000000,18.000000,31.000000
25.902661,27.000000,18.000000,31.000000
26.002695,26.000000,18.000000,31.000000
26.102683,26.000000,17.000000,31.000000
26.202692,26.000000,18.000000,30.000000
26.302674,26.000000,18.000000,30.000000
26.402679,29.000000,18.000000,30.000000
26.502664,29.000000,18.000000,30.000000
26.602698,29.000000,18.000000,30.000000
26.702664,29.000000,18.000000,30.000000
26.802686,27.000000,18.000000,30.000000
26.902663,27.000000,18.000000,30.000000
27.002712,25.000000,18.000000,30.000000
27.102707,23.000000,19.000000,30.000000
27.202664,23.000000,19.000000,30.000000
27.302702,21.000000,18.000000,30.000000
27.402701,19.000000,18.000000,30.000000
27.502694,17.000000,18.000000,30.000000
27.602689,16.000000,18.000000,30.000000
27.702824,16.000000,19.000000,30.000000
27.802662,17.000000,19.000000,30.000000
27.902664,16.000000,19.000000,30.000000
28.002655,18.000000,18.000000,30.000000
28.102689,17.000000,18.000000,30.000000
28.202673,16.000000,18.000000,30.000000
28.302674,18.000000,19.000000,30.000000
28.402665,20.000000,19.000000,30.000000
28.502688,21.000000,19.000000,28.000000
28.602715,21.000000,18.000000,25.000000
28.702733,20.000000,18.000000,22.000000
28.802759,21.000000,18.000000,19.000000
28.902655,21.000000,18.000000,16.000000
29.002841,22.000000,19.000000,13.000000
29.102723,23.000000,18.000000,10.000000
29.202689,23.000000,18.000000,7.000000
29.302674,23.000000,18.000000,4.000000
29.402661,23.000000,18.000000,1.000000
29.502703,23.000000,17.000000,0.000000
