t_sec,hz_image_raw,hz_cMo,hz_v_c
0.102325,0.000000,0.000000,0.000000
0.202286,2.000000,0.000000,0.000000
0.302474,3.000000,1.000000,0.000000
0.402278,6.000000,4.000000,0.000000
0.502310,8.000000,6.000000,0.000000
0.602302,11.000000,8.000000,0.000000
0.702309,14.000000,10.000000,0.000000
0.802325,17.000000,13.000000,0.000000
0.902298,20.000000,15.000000,0.000000
1.002278,22.000000,17.000000,0.000000
1.102306,25.000000,20.000000,0.000000
1.202321,26.000000,22.000000,0.000000
1.302288,27.000000,23.000000,0.000000
1.402282,26.000000,23.000000,0.000000
1.502291,27.000000,23.000000,0.000000
1.602312,25.000000,23.000000,0.000000
1.702290,25.000000,23.000000,0.000000
1.802285,23.000000,23.000000,0.000000
1.902302,23.000000,23.000000,0.000000
2.002293,24.000000,23.000000,0.000000
2.102318,23.000000,23.000000,0.000000
2.202302,23.000000,23.000000,0.000000
2.302279,24.000000,23.000000,0.000000
2.402283,25.000000,23.000000,0.000000
2.502302,25.000000,23.000000,0.000000
2.602290,27.000000,23.000000,0.000000
2.702284,27.000000,24.000000,0.000000
2.802280,29.000000,23.000000,1.000000
2.902302,27.000000,23.000000,4.000000
3.002270,27.000000,23.000000,7.000000
3.102276,28.000000,23.000000,10.000000
3.202281,28.000000,23.000000,13.000000
3.302301,28.000000,23.000000,16.000000
3.402275,28.000000,22.000000,19.000000
3.502299,26.000000,22.000000,22.000000
3.602297,23.000000,23.000000,25.000000
3.702295,23.000000,22.000000,28.000000
3.802287,23.000000,22.000000,30.000000
3.902287,25.000000,22.000000,30.000000
4.002302,25.000000,23.000000,30.000000
4.102288,25.000000,22.000000,30.000000
4.202285,25.000000,22.000000,30.000000
4.302286,25.000000,23.000000,30.000000
4.402362,25.000000,23.000000,30.000000
4.502302,27.000000,23.000000,30.000000
4.602285,29.000000,23.000000,30.000000
4.702289,28.000000,23.000000,30.000000
4.802289,27.000000,23.000000,30.000000
4.902269,27.000000,24.000000,30.000000
5.002288,26.000000,23.000000,30.000000
5.102297,25.000000,23.000000,30.000000
5.202301,22.000000,23.000000,30.000000
5.302296,22.000000,23.000000,30.000000
5.402294,21.000000,23.000000,30.000000
5.502287,21.000000,23.000000,30.000000
5.602284,22.000000,23.000000,30.000000
5.702289,23.000000,23.000000,30.000000
5.802235,24.000000,24.000000,30.000000
5.902263,24.000000,23.000000,31.000000
6.002265,25.000000,23.000000,31.000000
6.102263,26.000000,24.000000,31.000000
6.202278,29.000000,24.000000,31.000000
6.302278,28.000000,24.000000,31.000000
6.402279,29.000000,24.000000,31.000000
6.502278,29.000000,24.000000,31.000000
6.602281,29.000000,24.000000,31.000000
6.702276,29.000000,24.000000,31.000000
6.802276,29.000000,23.000000,31.000000
6.902286,29.000000,24.000000,30.000000
7.002282,29.000000,24.000000,30.000000
7.102286,29.000000,23.000000,30.000000
7.202280,27.000000,24.000000,30.000000
7.302313,28.000000,23.000000,30.000000
7.402303,26.000000,23.000000,30.000000
7.502282,26.000000,24.000000,30.000000
7.602281,26.000000,23.000000,30.000000
7.702293,24.000000,23.000000,30.000000
7.802309,24.000000,24.000000,30.000000
7.902281,24.000000,23.000000,30.000000
8.002294,23.000000,23.000000,30.000000
8.102280,23.000000,24.000000,30.000000
8.202279,25.000000,23.000000,30.000000
8.302277,25.000000,24.000000,30.000000
8.402278,27.000000,24.000000,30.000000
8.502281,27.000000,24.000000,30.000000
8.602280,27.000000,24.000000,30.000000
8.702282,29.000000,25.000000,30.000000
8.802284,28.000000,24.000000,30.000000
8.902313,27.000000,25.000000,30.000000
9.002281,27.000000,25.000000,30.000000
9.102230,27.000000,25.000000,30.000000
9.202267,25.000000,25.000000,31.000000
9.302264,24.000000,25.000000,31.000000
9.402270,24.000000,25.000000,31.000000
9.502275,24.000000,24.000000,31.000000
9.602300,23.000000,25.000000,31.000000
9.702274,23.000000,24.000000,31.000000
9.802277,23.000000,25.000000,31.000000
9.902287,24.000000,24.000000,31.000000
10.002277,24.000000,24.000000,31.000000
10.102279,24.000000,24.000000,31.000000
10.202274,26.000000,24.000000,30.000000
10.302278,27.000000,23.000000,30.000000
10.402281,27.000000,23.000000,30.000000
10.502430,27.000000,24.000000,30.000000
10.602282,27.000000,23.000000,30.000000
10.702279,26.000000,23.000000,30.000000
10.802281,27.000000,22.000000,30.000000
10.902280,26.000000,23.000000,30.000000
11.002311,27.000000,23.000000,30.000000
11.102282,27.000000,22.000000,30.000000
11.202278,27.000000,23.000000,30.000000
11.302280,27.000000,23.000000,30.000000
11.402277,26.000000,24.000000,30.000000
11.502283,26.000000,23.000000,30.000000
11.602271,26.000000,23.000000,30.000000
11.702280,27.000000,24.000000,30.000000
11.802280,27.000000,24.000000,30.000000
11.902929,28.000000,24.000000,30.000000
12.002280,28.000000,24.000000,30.000000
12.102774,28.000000,24.000000,30.000000
12.202691,28.000000,23.000000,30.000000
12.302283,27.000000,24.000000,30.000000
12.402341,27.000000,23.000000,30.000000
12.502270,27.000000,23.000000,31.000000
12.603002,28.000000,23.000000,31.000000
12.702319,27.000000,23.000000,31.000000
12.802287,25.000000,23.000000,31.000000
12.902290,26.000000,22.000000,31.000000
13.002708,25.000000,23.000000,31.000000
13.102768,25.000000,23.000000,31.000000
13.202346,26.000000,23.000000,31.000000
13.302284,25.000000,22.000000,31.000000
13.403091,26.000000,23.000000,30.000000
13.502711,26.000000,23.000000,30.000000
13.602929,26.000000,22.000000,30.000000
13.703824,27.000000,22.000000,30.000000
13.803132,29.000000,22.000000,30.000000
13.902295,28.000000,22.000000,30.000000
14.003635,28.000000,22.000000,30.000000
14.103133,28.000000,22.000000,30.000000
14.202298,27.000000,22.000000,30.000000
14.302865,28.000000,22.000000,30.000000
14.402323,28.000000,21.000000,30.000000
14.503782,28.000000,22.000000,30.000000
14.602431,28.000000,22.000000,30.000000
14.703558,28.000000,22.000000,30.000000
14.802304,27.000000,22.000000,30.000000
14.903847,27.000000,22.000000,30.000000
15.002317,27.000000,21.000000,30.000000
15.102282,27.000000,22.000000,30.000000
15.202294,25.000000,22.000000,30.000000
15.302324,26.000000,22.000000,30.000000
15.402311,26.000000,22.000000,30.000000
15.502305,26.000000,21.000000,30.000000
15.602263,26.000000,21.000000,30.000000
15.702308,27.000000,21.000000,30.000000
15.802324,27.000000,21.000000,31.000000
15.902296,28.000000,21.000000,31.000000
16.002297,28.000000,21.000000,31.000000
16.102366,28.000000,20.000000,31.000000
16.202313,30.000000,20.000000,31.000000
16.302554,30.000000,20.000000,31.000000
16.402472,30.000000,20.000000,31.000000
16.502316,30.000000,20.000000,31.000000
16.602342,27.000000,20.000000,31.000000
16.702313,25.000000,20.000000,31.000000
16.802276,25.000000,19.000000,30.000000
16.902310,25.000000,19.000000,30.000000
17.002287,25.000000,19.000000,30.000000
17.102317,24.000000,19.000000,30.000000
17.202306,23.000000,19.000000,30.000000
17.302277,23.000000,19.000000,30.000000
17.402275,22.000000,19.000000,30.000000
17.502277,21.000000,19.000000,30.000000
17.602291,23.000000,19.000000,30.000000
17.702279,24.000000,19.000000,30.000000
17.802308,23.000000,20.000000,30.000000
17.902399,23.000000,20.000000,30.000000
18.002320,22.000000,20.000000,30.000000
18.102282,23.000000,20.000000,30.000000
18.202309,23.000000,19.000000,30.000000
18.302323,23.000000,19.000000,30.000000
18.402287,24.000000,19.000000,30.000000
18.502305,25.000000,19.000000,30.000000
18.602311,26.000000,19.000000,30.000000
18.702314,27.000000,19.000000,30.000000
18.802293,28.000000,19.000000,30.000000
18.902297,28.000000,19.000000,30.000000
19.002394,29.000000,19.000000,30.000000
19.102273,29.000000,19.000000,31.000000
19.202306,30.000000,20.000000,31.000000
19.302304,30.000000,20.000000,31.000000
19.402295,30.000000,20.000000,31.000000
19.502294,30.000000,20.000000,31.000000
19.602295,29.000000,20.000000,31.000000
19.702337,28.000000,19.000000,31.000000
19.802351,27.000000,19.000000,31.000000
19.902312,26.000000,19.000000,31.000000
20.002314,26.000000,19.000000,31.000000
20.102349,25.000000,19.000000,30.000000
20.202325,25.000000,19.000000,30.000000
20.302416,25.000000,19.000000,30.000000
20.402297,25.000000,19.000000,30.000000
20.502307,22.000000,19.000000,30.000000
20.602318,20.000000,19.000000,30.000000
20.702298,18.000000,20.000000,30.000000
20.802296,16.000000,20.000000,30.000000
20.902309,14.000000,20.000000,30.000000
21.002317,12.000000,20.000000,30.000000
21.102295,11.000000,20.000000,30.000000
21.202287,11.000000,20.000000,30.000000
21.302572,11.000000,20.000000,30.000000
21.402281,11.000000,19.000000,30.000000
21.502390,13.000000,19.000000,30.000000
21.602286,15.000000,19.000000,30.000000
21.702398,17.000000,19.000000,30.000000
21.802407,20.000000,19.000000,30.000000
21.902287,23.000000,19.000000,30.000000
22.002522,25.000000,18.000000,30.000000
22.102465,27.000000,18.000000,30.000000
22.202278,27.000000,18.000000,30.000000
22.302304,27.000000,18.000000,30.000000
22.402273,27.000000,19.000000,31.000000
22.502268,28.000000,19.000000,31.000000
22.602291,29.000000,19.000000,31.000000
22.702312,30.000000,19.000000,31.000000
22.802298,30.000000,19.000000,31.000000
22.902277,30.000000,18.000000,31.000000
23.002293,30.000000,19.000000,31.000000
23.102288,29.000000,19.000000,31.000000
23.202316,29.000000,19.000000,31.000000
23.302276,28.000000,19.000000,31.000000
23.402285,28.000000,19.000000,30.000000
23.502276,28.000000,19.000000,30.000000
23.602300,28.000000,18.000000,30.000000
23.702275,28.000000,18.000000,30.000000
23.802314,27.000000,18.000000,30.000000
23.902272,27.000000,19.000000,30.000000
24.002291,27.000000,19.000000,30.000000
24.102292,27.000000,19.000000,30.000000
24.202275,26.000000,19.000000,30.000000
24.302285,27.000000,19.000000,30.000000
24.402300,26.000000,19.000000,30.000000
24.502289,26.000000,19.000000,30.000000
24.602287,26.000000,19.000000,30.000000
24.702296,25.000000,19.000000,30.000000
24.802277,26.000000,19.000000,30.000000
24.902293,26.000000,19.000000,30.000000
25.002312,26.000000,19.000000,30.000000
25.102299,27.000000,19.000000,30.000000
25.202294,27.000000,19.000000,30.000000
25.302379,27.000000,18.000000,30.000000
25.402385,28.000000,18.000000,30.000000
25.502280,28.000000,18.000000,30.000000
25.602302,27.000000,19.000000,30.000000
25.702273,27.000000,19.000000,31.000000
25.802286,26.000000,19.000000,31.000000
25.902274,26.000000,18.000000,31.000000
26.002268,26.000000,18.000000,31.000000
26.102278,25.000000,18.000000,31.000000
26.202282,25.000000,18.000000,31.000000
26.302275,25.000000,19.000000,31.000000
26.402272,24.000000,19.000000,31.000000
26.502275,23.000000,19.000000,31.000000
26.602296,23.000000,19.000000,31.000000
26.702340,24.000000,19.000000,30.000000
26.802274,25.000000,18.000000,30.000000
26.902317,24.000000,19.000000,30.000000
27.002284,24.000000,19.000000,30.000000
27.102279,25.000000,19.000000,30.000000
27.202304,25.000000,19.000000,30.000000
27.302278,25.000000,19.000000,30.000000
27.402290,25.000000,19.000000,30.000000
27.502314,25.000000,19.000000,30.000000
27.602273,26.000000,18.000000,30.000000
27.702303,24.000000,18.000000,30.000000
27.802296,23.000000,19.000000,30.000000
27.902313,24.000000,19.000000,30.000000
28.002279,24.000000,19.000000,30.000000
28.102292,24.000000,19.000000,30.000000
28.202279,25.000000,19.000000,30.000000
28.302306,23.000000,18.000000,30.000000
28.402389,23.000000,18.000000,30.000000
28.502286,24.000000,18.000000,30.000000
28.602319,22.000000,19.000000,28.000000
28.702310,24.000000,19.000000,25.000000
28.802322,25.000000,19.000000,22.000000
28.902307,24.000000,19.000000,19.000000
29.002274,24.000000,19.000000,16.000000
29.102281,22.000000,19.000000,13.000000
29.202284,21.000000,19.000000,10.000000
29.302286,22.000000,20.000000,7.000000
29.402396,23.000000,19.000000,4.000000
29.502312,23.000000,19.000000,1.000000
29.602289,24.000000,19.000000,0.000000
29.702386,24.000000,19.000000,0.000000
29.802345,24.000000,19.000000,0.000000
29.902290,25.000000,19.000000,0.000000
30.002309,25.000000,19.000000,0.000000
30.102310,27.000000,18.000000,0.000000
30.202387,27.000000,18.000000,0.000000
30.302306,28.000000,18.000000,0.000000
